2026-02-04 01:15:15,165 | INFO | __main__ | ==================================================
2026-02-04 01:15:15,165 | INFO | __main__ | TEST COMPLETADO EXITOSAMENTE
2026-02-04 01:15:15,165 | INFO | __main__ | ==================================================
2026-02-04 01:16:41,261 | INFO | __main__ | ==================================================
2026-02-04 01:16:41,261 | INFO | __main__ | INICIANDO TEST DEL FLUJO
2026-02-04 01:16:41,262 | INFO | __main__ | ==================================================
2026-02-04 01:16:41,262 | INFO | __main__ | PASO 1: Extrayendo PDFs...
2026-02-04 01:16:41,262 | INFO | src.pipeline.scraper | Iniciando extracción de 2 fuentes
2026-02-04 01:16:41,764 | INFO | src.pipeline.scraper | RFEBM - Normativa y Reglamentos: 11 PDFs encontrados
2026-02-04 01:16:42,359 | INFO | src.pipeline.scraper | FABM - Reglamentos: 4 PDFs encontrados
2026-02-04 01:16:42,359 | INFO | src.pipeline.scraper | Total PDFs extraídos: 15
2026-02-04 01:16:42,361 | INFO | __main__ | PASO 2: Filtrando PDFs...
2026-02-04 01:16:42,361 | INFO | src.pipeline.scraper | PDFs filtrados: 9 de 15 (patrones: ['reglas', 'reglamento', 'disciplina', 'rgc'])
2026-02-04 01:16:42,361 | INFO | __main__ | PASO 3: Cargando metadatos existentes...
2026-02-04 01:16:42,362 | INFO | src.pipeline.downloader | Metadatos cargados: C:\Users\carre\Documents\Proyectos\refmate-handball\data\raw\downloads_metadata.json
2026-02-04 01:16:42,362 | INFO | __main__ | PASO 4: Filtrando duplicados...
2026-02-04 01:16:42,362 | INFO | src.pipeline.downloader | URLs nuevas: 0 de 9 totales
2026-02-04 01:16:42,363 | INFO | __main__ | No hay PDFs nuevos para descargar
